"","Codigos","Anno","nombrePais","ratio","PIB","ENERGIA","RENOVABLE","poblacion","ren.por.habitante","ren.por.PIB"
"238","RO","2009","Rumanía",30.9,120409.2,37607,11620.56,20440290,1.12,6.12
"239","RO","2010","Rumanía",30.4,126746.4,41317,12560.37,20294683,1.22,6.29
"240","RO","2011","Rumanía",31.1,133305.9,42714,13284.05,20199059,1.3,6.32
"241","RO","2012","Rumanía",33.6,133511.4,42386,14241.7,20095996,1.4,6.77
"242","RO","2013","Rumanía",37.5,144253.5,40628,15235.5,20020074,1.51,6.7
"243","RO","2014","Rumanía",41.7,150357.5,41905,17474.39,19947311,1.73,7.37
"244","SE","2006","Suecia",51.8,334876.5,130806,67757.51,9047752,14.82,12.83
"245","SE","2007","Suecia",53.2,356434.3,131082,69735.62,9113257,15.14,12.41
"246","SE","2008","Suecia",53.6,352317.1,128649,68955.86,9182927,14.86,12.41
"247","SE","2009","Suecia",58.3,309678.7,123386,71934.04,9256347,15.38,14.73
"248","SE","2010","Suecia",56,369076.6,131217,73481.52,9340682,15.56,12.63
"249","SE","2011","Suecia",59.9,404945.5,124628,74652.17,9415570,15.69,11.69
"250","SE","2012","Suecia",60,423340.7,127286,76371.6,9482855,15.93,11.44
"251","SE","2013","Suecia",61.8,435752.1,125016,77259.89,9555893,16,11.25
"252","SE","2014","Suecia",63.3,432691.1,122191,77346.9,9644864,15.87,11.34
"253","SI","2006","Eslovenia",28.2,31561.2,13165,3712.53,2003358,3.67,7.46
"254","SI","2007","Eslovenia",27.7,35152.6,13264,3674.13,2010377,3.62,6.63
"255","SI","2008","Eslovenia",30,37951.2,12806,3841.8,2010269,3.78,6.42
"256","SI","2009","Eslovenia",33.8,36166.2,11293,3817.03,2032362,3.72,6.69
"257","SI","2010","Eslovenia",32.2,36252.4,11945,3846.29,2046976,3.72,6.73
"258","SI","2011","Eslovenia",31,36896.3,12500,3875,2050189,3.74,6.66
"259","SI","2012","Eslovenia",31.6,36002.5,12428,3927.25,2055496,3.78,6.92
"260","SI","2013","Eslovenia",33.1,35917.1,12479,4130.55,2058821,3.97,7.29
"261","SI","2014","Eslovenia",33.9,37332.4,12459,4223.6,2061085,4.05,7.18
"262","SK","2006","Eslovaquia",16.6,45530.2,23654,3926.56,5372928,1.45,5.47
"263","SK","2007","Eslovaquia",16.5,56241.6,24573,4054.55,5373180,1.49,4.57
"264","SK","2008","Eslovaquia",17,66002.8,24765,4210.05,5376064,1.55,4.05
"265","SK","2009","Eslovaquia",17.8,64023.1,23098,4111.44,5382401,1.51,4.07
"266","SK","2010","Eslovaquia",17.8,67577.3,24135,4296.03,5390410,1.58,4.03
"267","SK","2011","Eslovaquia",19.3,70627.2,24812,4788.72,5392446,1.76,4.3
"268","SK","2012","Eslovaquia",20.1,72703.5,23937,4811.34,5404322,1.76,4.2
"269","SK","2013","Eslovaquia",20.8,74169.9,25084,5217.47,5410836,1.91,4.46
"270","SK","2014","Eslovaquia",23,75946.4,24157,5556.11,5415949,2.03,4.64
